Nutrient1,Year1,Value
"Zinc, Zn",2018,3.199052495
"Folate, total",2018,1.882197352
Energy,2019,4.735847158
Carbohydrate,2019,5.549490125
Protein,2019,8.816152638
Fat,2019,1.817161188
"Fibre, total dietary",2019,9.454741781
"Calcium, Ca",2019,0.709754837
"Iron, Fe",2019,10.28018252
"Zinc, Zn",2019,5.141609351
"Folate, total",2019,3.02512182
Energy,2020,4.66171556
Carbohydrate,2020,5.462622336
Protein,2020,8.678150827
Fat,2020,1.788716634
"Fibre, total dietary",2020,9.306743948
"Calcium, Ca",2020,0.698644837
"Iron, Fe",2020,10.11926382
"Zinc, Zn",2020,5.061126239
"Folate, total",2020,2.977768705
Energy,2021,4.790283418
Carbohydrate,2021,5.613278816
Protein,2021,8.917490027
Fat,2021,1.838048573
"Fibre, total dietary",2021,9.563419441
"Calcium, Ca",2021,0.717913124
"Iron, Fe",2021,10.39834822
"Zinc, Zn",2021,5.200709651
"Folate, total",2021,3.059894125
Energy,2022,2.946591744
Carbohydrate,2022,3.452831403
Protein,2022,5.485312705
Fat,2022,1.130617602
"Fibre, total dietary",2022,5.882635809
"Calcium, Ca",2022,0.441601613
"Iron, Fe",2022,6.396215912
"Zinc, Zn",2022,3.199052495
"Folate, total",2022,1.882197352
